,Locations,Prices,Floor,Area,Rooms
0,Yasamal r.,198320,5/17 ,134 ,3 
1,7-ci mikrorayon q.,75000,1/5 ,50 ,2 
2,Nəsimi r.,36000,,25 ,
3,Xətai r.,243000,3/7 ,135 ,3 
4,28 May m.,350000,6/17 ,165 ,3 
5,Bakıxanov q.,56000,8/8 ,49 ,1 
6,Yasamal r.,155000,15/19 ,90 ,3 
7,Nərimanov r.,127000,5/16 ,60 ,2 
8,7-ci mikrorayon q.,92000,3/5 ,75 ,3 
9,Yasamal r.,314000,16/22 ,152.1 ,3 
10,Gənclik m.,120000,,36 ,
11,Memar Əcəmi m.,84000,4/5 ,68 ,2 
12,Elmlər Akademiyası m.,107000,5/9 ,60 ,2 
13,İnşaatçılar m.,85000,1/5 ,50 ,2 
14,Binəqədi q.,51000,3/7 ,52 ,2 
15,Elmlər Akademiyası m.,172000,12/19 ,90 ,2 
16,Xırdalan,67000,5/16 ,64 ,2 
17,İçəri Şəhər m.,370000,2/4 ,200 ,4 
18,Nərimanov r.,225000,6/16 ,105 ,3 
19,İnşaatçılar m.,98000,9/9 ,70 ,3 
20,Mərdəkan q.,287000,,190 ,
21,Bilgəh q.,365000,,800 ,5 
22,Badamdar q.,73000,,350.0,
23,Elmlər Akademiyası m.,185000,,90 ,
24,Yasamal q.,125000,9/9 ,79 ,3 
25,Yasamal r.,124000,7/9 ,72 ,3 
26,Yeni Yasamal q.,136000,3/11 ,100 ,3 
27,İnşaatçılar m.,212000,16/18 ,138 ,3 
28,Yasamal r.,190000,7/17 ,108 ,2 
29,İnşaatçılar m.,95000,11/21 ,75 ,2 
30,Həzi Aslanov m.,122000,12/17 ,74 ,3 
31,Nəsimi r.,820000,11/17 ,460 ,7 
32,Sahil m.,690000,12/14 ,230 ,4 
33,Yasamal r.,120000,4/5 ,60 ,2 
34,Masazır q.,41500,2/8 ,44 ,2 
35,Nəsimi r.,380000,12/17 ,210 ,4 
36,8-ci mikrorayon q.,850000,,850 ,
37,Buzovna q.,35700,,115 ,3 
38,Nizami r.,75000,5/5 ,55 ,2 
39,Gənclik m.,199000,5/9 ,145 ,4 
40,Həzi Aslanov m.,160000,5/17 ,110 ,3 
41,Həzi Aslanov m.,159000,10/19 ,90 ,3 
42,Masazır q.,70000,4/6 ,75 ,2 
43,Masazır q.,70000,4/6 ,82 ,3 
44,Masazır q.,81000,4/5 ,102 ,3 
45,Şüvəlan q.,1500000,,900 ,
46,Şüvəlan q.,550000,,500 ,
47,Yeni Ramana q.,18000,,400.0,
48,Buzovna q.,65000,,80 ,
49,Mərdəkan q.,280000,,200 ,
50,Şüvəlan q.,57000,,600.0,
51,Şimal DRES q.,50000,,600.0,
52,Şüvəlan q.,50000,,500.0,
53,Masazır q.,65000,3/7 ,85 ,2 
54,Qax,45000,,60 ,1 
55,Gənclik m.,75000,9/9 ,52 ,1 
56,Şah İsmayıl Xətai m.,160000,10/16 ,92 ,2 
57,Nardaran q.,48000,,2400.0,
58,7-ci mikrorayon q.,56400,7/9 ,47 ,1 
59,Nardaran q.,24000,,1200.0,
60,Nardaran q.,18700,,850.0,
