Names,Locations,Prices/Mon
2 otaqlı80 m²5/5 mərtəbə,20 Yanvar m.,130AZN/ay
4 otaqlı200 m²,Qusar,150AZN/gün
2 otaqlı45 m²6/9 mərtəbə,Neftçilər m.,350AZN/ay
3 otaqlı100 m²1/9 mərtəbə,Nəsimi r.,80AZN/gün
210 m²,Görədil q.,120AZN/gün
350 m²,Buzovna q.,100AZN/gün
200 m²,Gənclik m.,3 000AZN/ay
3 otaqlı80 m²15/16 mərtəbə,Elmlər Akademiyası m.,650AZN/ay
3 otaqlı80 m²9/16 mərtəbə,Nərimanov r.,850AZN/ay
140 m²,Mərdəkan q.,5 000AZN/ay
3 otaqlı100 m²3/3 mərtəbə,İçəri Şəhər m.,900AZN/ay
31 m²,Həzi Aslanov m.,500AZN/ay
2 otaqlı45 m²2/5 mərtəbə,Memar Əcəmi m.,120AZN/ay
150 m²,Səbail r.,7 500AZN/ay
2 otaqlı70 m²7/7 mərtəbə,Gənclik m.,800AZN/ay
1 otaqlı59 m²3/12 mərtəbə,Xırdalan,400AZN/ay
2 otaqlı70 m²7/7 mərtəbə,Gənclik m.,700AZN/ay
2 otaqlı75 m²3/5 mərtəbə,Avtovağzal m.,450AZN/ay
3 otaqlı200 m²,Qəbələ,140AZN/gün
3 otaqlı65 m²2/4 mərtəbə,28 May m.,650AZN/ay
3 otaqlı100 m²2/16 mərtəbə,Bayıl q.,700AZN/ay
2 otaqlı50 m²6/9 mərtəbə,Neftçilər m.,350AZN/ay
2 otaqlı60 m²3/4 mərtəbə,Sumqayıt,220AZN/ay
70 m²,Yasamal r.,800AZN/gün
2 otaqlı80 m²5/5 mərtəbə,20 Yanvar m.,130AZN/ay
4 otaqlı200 m²,Qusar,150AZN/gün
2 otaqlı45 m²6/9 mərtəbə,Neftçilər m.,350AZN/ay
3 otaqlı100 m²1/9 mərtəbə,Nəsimi r.,80AZN/gün
210 m²,Görədil q.,120AZN/gün
350 m²,Buzovna q.,100AZN/gün
200 m²,Gənclik m.,3 000AZN/ay
3 otaqlı80 m²15/16 mərtəbə,Elmlər Akademiyası m.,650AZN/ay
3 otaqlı80 m²9/16 mərtəbə,Nərimanov r.,850AZN/ay
140 m²,Mərdəkan q.,5 000AZN/ay
3 otaqlı100 m²3/3 mərtəbə,İçəri Şəhər m.,900AZN/ay
31 m²,Həzi Aslanov m.,500AZN/ay
2 otaqlı45 m²2/5 mərtəbə,Memar Əcəmi m.,120AZN/ay
150 m²,Səbail r.,7 500AZN/ay
2 otaqlı70 m²7/7 mərtəbə,Gənclik m.,800AZN/ay
1 otaqlı59 m²3/12 mərtəbə,Xırdalan,400AZN/ay
2 otaqlı70 m²7/7 mərtəbə,Gənclik m.,700AZN/ay
2 otaqlı75 m²3/5 mərtəbə,Avtovağzal m.,450AZN/ay
3 otaqlı200 m²,Qəbələ,140AZN/gün
3 otaqlı65 m²2/4 mərtəbə,28 May m.,650AZN/ay
3 otaqlı100 m²2/16 mərtəbə,Bayıl q.,700AZN/ay
2 otaqlı50 m²6/9 mərtəbə,Neftçilər m.,350AZN/ay
2 otaqlı60 m²3/4 mərtəbə,Sumqayıt,220AZN/ay
70 m²,Yasamal r.,800AZN/gün
4 otaqlı200 m²4/16 mərtəbə,Sahil m.,70AZN/gün
3 otaqlı110 m²17/18 mərtəbə,Nizami r.,600AZN/ay
2 otaqlı91 m²9/17 mərtəbə,Nəsimi r.,600AZN/ay
3 otaqlı110 m²3/10 mərtəbə,Memar Əcəmi m.,180AZN/ay
1 otaqlı35 m²2/5 mərtəbə,Elmlər Akademiyası m.,400AZN/ay
7 otaqlı400 m²,Gənclik m.,4 000AZN/ay
2 otaqlı55 m²1/5 mərtəbə,Nizami r.,470AZN/ay
2 otaqlı55 m²,Nəsimi r.,420AZN/ay
2 otaqlı76 m²6/10 mərtəbə,Nərimanov r.,550AZN/ay
125 m²,İnşaatçılar m.,2 000AZN/ay
2 otaqlı50 m²5/14 mərtəbə,8 Noyabr m.,600AZN/ay
