,Locations,Prices,Floor,Area,Rooms
0,20 Yanvar m.,3900,5/5 ,80 ,2 
1,Qusar,150,,200 ,4 
2,Neftçilər m.,10500,6/9 ,45 ,2 
3,Nəsimi r.,80,1/9 ,100 ,3 
4,Görədil q.,120,,210 ,
5,Buzovna q.,100,,350 ,
6,Gənclik m.,90000,,200 ,
7,Elmlər Akademiyası m.,19500,15/16 ,80 ,3 
8,Nərimanov r.,25500,9/16 ,80 ,3 
9,Mərdəkan q.,150000,,140 ,
10,İçəri Şəhər m.,27000,3/3 ,100 ,3 
11,Həzi Aslanov m.,15000,,31 ,
12,Memar Əcəmi m.,3600,2/5 ,45 ,2 
13,Səbail r.,225000,,150 ,
14,Gənclik m.,24000,7/7 ,70 ,2 
15,Xırdalan,12000,3/12 ,59 ,1 
16,Gənclik m.,21000,7/7 ,70 ,2 
17,Avtovağzal m.,13500,3/5 ,75 ,2 
18,Qəbələ,140,,200 ,3 
19,28 May m.,19500,2/4 ,65 ,3 
20,Bayıl q.,21000,2/16 ,100 ,3 
21,Neftçilər m.,10500,6/9 ,50 ,2 
22,Sumqayıt,6600,3/4 ,60 ,2 
23,Yasamal r.,800,,70 ,
24,20 Yanvar m.,3900,5/5 ,80 ,2 
25,Qusar,150,,200 ,4 
26,Neftçilər m.,10500,6/9 ,45 ,2 
27,Nəsimi r.,80,1/9 ,100 ,3 
28,Görədil q.,120,,210 ,
29,Buzovna q.,100,,350 ,
30,Gənclik m.,90000,,200 ,
31,Elmlər Akademiyası m.,19500,15/16 ,80 ,3 
32,Nərimanov r.,25500,9/16 ,80 ,3 
33,Mərdəkan q.,150000,,140 ,
34,İçəri Şəhər m.,27000,3/3 ,100 ,3 
35,Həzi Aslanov m.,15000,,31 ,
36,Memar Əcəmi m.,3600,2/5 ,45 ,2 
37,Səbail r.,225000,,150 ,
38,Gənclik m.,24000,7/7 ,70 ,2 
39,Xırdalan,12000,3/12 ,59 ,1 
40,Gənclik m.,21000,7/7 ,70 ,2 
41,Avtovağzal m.,13500,3/5 ,75 ,2 
42,Qəbələ,140,,200 ,3 
43,28 May m.,19500,2/4 ,65 ,3 
44,Bayıl q.,21000,2/16 ,100 ,3 
45,Neftçilər m.,10500,6/9 ,50 ,2 
46,Sumqayıt,6600,3/4 ,60 ,2 
47,Yasamal r.,800,,70 ,
48,Sahil m.,70,4/16 ,200 ,4 
49,Nizami r.,18000,17/18 ,110 ,3 
50,Nəsimi r.,18000,9/17 ,91 ,2 
51,Memar Əcəmi m.,5400,3/10 ,110 ,3 
52,Elmlər Akademiyası m.,12000,2/5 ,35 ,1 
53,Gənclik m.,120000,,400 ,7 
54,Nizami r.,14100,1/5 ,55 ,2 
55,Nəsimi r.,12600,,55 ,2 
56,Nərimanov r.,16500,6/10 ,76 ,2 
57,İnşaatçılar m.,60000,,125 ,
58,8 Noyabr m.,18000,5/14 ,50 ,2 
59,Səbail r.,51000,,55 ,
60,Nəsimi r.,400,6/9 ,40 ,2 
