,Locations,Prices,Floor,Area,Rooms,Rent
0,20 Yanvar m.,3900,5/5 ,80 ,2 ,1.0
1,Qusar,150,,200 ,4 ,1.0
2,Neftçilər m.,10500,6/9 ,45 ,2 ,1.0
3,Nəsimi r.,80,1/9 ,100 ,3 ,1.0
4,Görədil q.,120,,210 ,,1.0
5,Buzovna q.,100,,350 ,,1.0
6,Gənclik m.,90000,,200 ,,1.0
7,Elmlər Akademiyası m.,19500,15/16 ,80 ,3 ,1.0
8,Nərimanov r.,25500,9/16 ,80 ,3 ,1.0
9,Mərdəkan q.,150000,,140 ,,1.0
10,İçəri Şəhər m.,27000,3/3 ,100 ,3 ,1.0
11,Həzi Aslanov m.,15000,,31 ,,1.0
12,Memar Əcəmi m.,3600,2/5 ,45 ,2 ,1.0
13,Səbail r.,225000,,150 ,,1.0
14,Gənclik m.,24000,7/7 ,70 ,2 ,1.0
15,Xırdalan,12000,3/12 ,59 ,1 ,1.0
16,Gənclik m.,21000,7/7 ,70 ,2 ,1.0
17,Avtovağzal m.,13500,3/5 ,75 ,2 ,1.0
18,Qəbələ,140,,200 ,3 ,1.0
19,28 May m.,19500,2/4 ,65 ,3 ,1.0
20,Bayıl q.,21000,2/16 ,100 ,3 ,1.0
21,Neftçilər m.,10500,6/9 ,50 ,2 ,1.0
22,Sumqayıt,6600,3/4 ,60 ,2 ,1.0
23,Yasamal r.,800,,70 ,,1.0
24,20 Yanvar m.,3900,5/5 ,80 ,2 ,1.0
25,Qusar,150,,200 ,4 ,1.0
26,Neftçilər m.,10500,6/9 ,45 ,2 ,1.0
27,Nəsimi r.,80,1/9 ,100 ,3 ,1.0
28,Görədil q.,120,,210 ,,1.0
29,Buzovna q.,100,,350 ,,1.0
30,Gənclik m.,90000,,200 ,,1.0
31,Elmlər Akademiyası m.,19500,15/16 ,80 ,3 ,1.0
32,Nərimanov r.,25500,9/16 ,80 ,3 ,1.0
33,Mərdəkan q.,150000,,140 ,,1.0
34,İçəri Şəhər m.,27000,3/3 ,100 ,3 ,1.0
35,Həzi Aslanov m.,15000,,31 ,,1.0
36,Memar Əcəmi m.,3600,2/5 ,45 ,2 ,1.0
37,Səbail r.,225000,,150 ,,1.0
38,Gənclik m.,24000,7/7 ,70 ,2 ,1.0
39,Xırdalan,12000,3/12 ,59 ,1 ,1.0
40,Gənclik m.,21000,7/7 ,70 ,2 ,1.0
41,Avtovağzal m.,13500,3/5 ,75 ,2 ,1.0
42,Qəbələ,140,,200 ,3 ,1.0
43,28 May m.,19500,2/4 ,65 ,3 ,1.0
44,Bayıl q.,21000,2/16 ,100 ,3 ,1.0
45,Neftçilər m.,10500,6/9 ,50 ,2 ,1.0
46,Sumqayıt,6600,3/4 ,60 ,2 ,1.0
47,Yasamal r.,800,,70 ,,1.0
48,Sahil m.,70,4/16 ,200 ,4 ,1.0
49,Nizami r.,18000,17/18 ,110 ,3 ,1.0
50,Nəsimi r.,18000,9/17 ,91 ,2 ,1.0
51,Memar Əcəmi m.,5400,3/10 ,110 ,3 ,1.0
52,Elmlər Akademiyası m.,12000,2/5 ,35 ,1 ,1.0
53,Gənclik m.,120000,,400 ,7 ,1.0
54,Nizami r.,14100,1/5 ,55 ,2 ,1.0
